Line Name,Replicate,Time
SF ABF93_1-R1,SF93_DP_52,120
SF ABF93_1-R2,SF93_DP_53,120
SF ABF93_1-R3,SF93_DP_54,120
SF ABF93_2-R1,SF93_DP_55,120
SF ABF93_2-R2,SF93_DP_56,120
SF ABF93_2-R3,SF93_DP_57,120
SF ABF93_3-R1,SF93_DP_58,120
SF ABF93_3-R2,SF93_DP_59,120
SF ABF93_3-R3,SF93_DP_60,120
SF ABF93_4-R1,SF93_DP_61,120
SF ABF93_4-R2,SF93_DP_62,120
SF ABF93_4-R3,SF93_DP_63,120
SF ABF93_5-R1,SF93_DP_64,120
SF ABF93_5-R2,SF93_DP_65,120
SF ABF93_5-R3,SF93_DP_66,120
SF ABF93_6-R1,SF93_DP_67,120
SF ABF93_6-R2,SF93_DP_68,120
SF ABF93_6-R3,SF93_DP_69,120
SF ABF93_7-R1,SF93_DP_70,120
SF ABF93_7-R2,SF93_DP_71,120
SF ABF93_7-R3,SF93_DP_72,120
SF ABF93_8-R1,SF93_DP_73,120
SF ABF93_8-R2,SF93_DP_74,120
SF ABF93_8-R3,SF93_DP_75,120
SF ABF93_9-R1,SF93_DP_76,120
SF ABF93_9-R2,SF93_DP_77,120
SF ABF93_9-R3,SF93_DP_78,120
SF ABF93_10-R1,SF93_DP_79,120
SF ABF93_10-R2,SF93_DP_80,120
SF ABF93_10-R3,SF93_DP_81,120
SF ABF93_11-R1,SF93_DP_82,120
SF ABF93_11-R2,SF93_DP_83,120
SF ABF93_11-R3,SF93_DP_84,120
SF ABF93_12-R1,SF93_DP_85,120
SF ABF93_12-R2,SF93_DP_86,120
SF ABF93_12-R3,SF93_DP_87,120
SF ABF93_13-R1,SF93_DP_88,120
SF ABF93_13-R2,SF93_DP_89,120
SF ABF93_13-R3,SF93_DP_90,120
SF ABF93_14-R1,SF93_DP_91,120
SF ABF93_14-R2,SF93_DP_92,120
SF ABF93_14-R3,SF93_DP_93,120
SF ABF93_15-R1,SF93_DP_94,120
SF ABF93_15-R2,SF93_DP_95,120
SF ABF93_15-R3,SF93_DP_96,120
SF ABF93_16-R1,SF93_DP_97,120
SF ABF93_16-R2,SF93_DP_98,120
SF ABF93_16-R3,SF93_DP_99,120
SF ABF93_17-R1,SF93_DP_100,120
SF ABF93_17-R2,SF93_DP_101,120
SF ABF93_17-R3,SF93_DP_102,120
